id, name, version, is_ok, num_vuln, critical, high, medium, low
366, lodash.iserror, 3.0.0, True
367, lodash.lowercase, 4.0.0, True
368, lodash.lowercase, 3.0.0, True
369, lodash.size, 4.0.0, True
370, lodash.size, 3.0.0, True
371, lodash.uniqueid, 4.0.0, True
372, lodash.uniqueid, 3.0.0, True
373, lodash.intersection, 4.0.0, True
374, lodash.intersection, 3.0.0, True
375, lodash.result, 4.0.0, True
376, lodash.result, 3.0.0, True
377, lodash.topath, 4.0.0, True
378, lodash.topath, 3.0.0, True
379, lodash.issymbol, 4.0.0, True
380, lodash.issymbol, 3.0.0, True
381, lodash.compact, 4.0.0, True
382, lodash.compact, 3.0.0, True
383, lodash.unionwith, 4.0.0, True
384, lodash.unionwith, 3.0.0, True
385, tailwindcss, v2.2.19, True
386, tailwindcss, v2.2.18, True
387, tailwindcss, v2.2.17, True
388, tailwindcss, v3.0.0-alpha.1, True
389, tailwindcss, v2.2.16, True
390, tailwindcss, v2.2.15, True
391, tailwindcss, v2.2.14, True
392, tailwindcss, v2.2.12, True
393, tailwindcss, v2.2.11, True
394, tailwindcss, v2.2.13, True
395, tailwindcss, v2.2.10, True
396, tailwindcss, v2.2.9, True
397, tailwindcss, v2.2.8, True
398, tailwindcss, v2.2.7, True
399, tailwindcss, v2.2.6, True
400, tailwindcss, v2.2.5, True
401, tailwindcss, v2.2.4, True
402, tailwindcss, v2.2.3, True
403, tailwindcss, v2.2.2, True
404, tailwindcss, v2.2.1, True
405, tailwindcss, v2.2.0, True
406, tailwindcss, v2.1.4, False, 2, 0, 0, 2, 0
407, tailwindcss, v2.1.3, False, 2, 0, 0, 2, 0
408, tailwindcss, v2.1.2, False, 2, 0, 0, 2, 0
409, tailwindcss, v2.1.1, False, 2, 0, 0, 2, 0
410, tailwindcss, v2.1.0, False, 2, 0, 0, 2, 0
411, tailwindcss, v2.0.4, False, 1, 0, 0, 1, 0
412, tailwindcss, v2.0.3, False, 1, 0, 0, 1, 0
413, tailwindcss, v2.0.2, False, 1, 0, 0, 1, 0
414, tailwindcss, v2.0.1, False, 1, 0, 0, 1, 0
415, ionic-angular, v6.0.0-rc.2, True
416, @ionic/core, v6.0.0-rc.2, True
417, @ionic/core, v6.0.0-rc.1, True
418, @ionic/core, v5.8.5, True
419, @ionic/core, v5.8.4, True
420, @ionic/core, v5.8.3, True
421, @ionic/core, v6.0.0-rc.0, True
422, @ionic/core, v6.0.0-beta.7, True
423, @ionic/core, v5.8.2, True
424, @ionic/core, v5.8.1, True
425, @ionic/core, v6.0.0-beta.6, True
426, @ionic/core, v5.8.0, True
427, @ionic/core, v6.0.0-beta.5, True
428, @ionic/core, v5.7.0, True
429, @ionic/core, v6.0.0-beta.4, True
430, @ionic/core, v5.6.14, True
431, @ionic/core, v6.0.0-beta.3, True
432, @ionic/core, v5.6.13, True
433, @ionic/core, v6.0.0-beta.2, True
434, @ionic/core, v5.6.12, True
435, @ionic/core, v6.0.0-beta.1, True
436, @ionic/core, v5.6.11, True
437, @ionic/core, v6.0.0-beta.0, True
438, @ionic/core, v5.6.10, True
439, @ionic/core, v5.6.9, True
440, @ionic/core, v5.6.8, True
441, @ionic/core, v5.6.7, True
442, @ionic/core, v5.6.6, True
443, @ionic/core, v5.6.5, True
444, @ionic/core, v5.6.4, True
445, @ionic/core, v5.6.3, True
446, react-router-dom, v6.0.0, True
447, react-router-redux, v6.0.0, False, 5, 0, 2, 3, 0
448, react-router, v6.0.0, True
449, jekyll, v4.2.1, error, Couldn't find the requested package or version
450, jekyll, v3.9.1, error, Couldn't find the requested package or version
451, jekyll, v4.2.0, error, Couldn't find the requested package or version
452, jekyll, v3.9.0, error, Couldn't find the requested package or version
453, jekyll, v4.1.1, error, Couldn't find the requested package or version
454, jekyll, v4.1.0, error, Couldn't find the requested package or version
455, jekyll, v4.0.1, error, Couldn't find the requested package or version
456, jekyll, v3.8.7, error, Couldn't find the requested package or version
457, jekyll, v4.0.0, error, Couldn't find the requested package or version
458, jekyll, v4.0.0.pre.beta1, error, Couldn't find the requested package or version
459, jekyll, v3.8.6, error, Couldn't find the requested package or version
460, jekyll, v4.0.0.pre.alpha1, error, Couldn't find the requested package or version
461, jekyll, v3.8.5, error, Couldn't find the requested package or version
462, jekyll, v3.8.4, error, Couldn't find the requested package or version
463, jekyll, v3.7.4, error, Couldn't find the requested package or version
464, jekyll, v3.8.3, error, Couldn't find the requested package or version
465, jekyll, v3.8.2, error, Couldn't find the requested package or version
466, jekyll, v3.8.1, error, Couldn't find the requested package or version
467, jekyll, v3.8.0, error, Couldn't find the requested package or version
468, jekyll, v3.8.0.pre.rc2, error, Couldn't find the requested package or version
469, jekyll, v3.8.0.pre.rc1, error, Couldn't find the requested package or version
470, jekyll, v3.7.3, error, Couldn't find the requested package or version
471, jekyll, v3.7.2, error, Couldn't find the requested package or version
472, jekyll, v3.7.0, error, Couldn't find the requested package or version
473, jekyll, v3.6.1, error, Couldn't find the requested package or version
474, jekyll, v3.6.2, error, Couldn't find the requested package or version
475, jekyll, v3.6.0, error, Couldn't find the requested package or version
476, jekyll, v3.6.0.pre.beta1, error, Couldn't find the requested package or version
477, jekyll, v3.5.2, error, Couldn't find the requested package or version
478, jekyll, v3.5.1, error, Couldn't find the requested package or version
479, @nestjs/core, v8.0.0, True
480, @nestjs/core, v7.5.0, True
481, @nestjs/core, v7.4.0, True
482, @nestjs/core, v7.3.0, True
483, @nestjs/core, v7.1.0, True
484, @nestjs/core, v7.0.0, True
485, @nestjs/core, v6.11.0, True
486, @nestjs/core, v6.10.0, True
487, @nestjs/core, v6.9.0, True
488, @nestjs/core, v6.8.0, True
489, @nestjs/core, v6.7.0, True
490, @nestjs/core, v6.6.6, True
