X,Name,Repository.URL,Release.Name,Release.URL,id,is_ok,num_vuln,critical,high,medium,low
2539,eslint-plugin-import,https://github.com/benmosher/eslint-plugin-import,resolvers/webpack/v0.1.4,https://github.com/import-js/eslint-plugin-import/releases/tag/resolvers/webpack/v0.1.4,2539,error,Couldn't find the requested package or version,NA,NA,NA,NA
4148,lower-case,https://github.com/blakeembrey/change-case,no-case@3.0.3,https://github.com/blakeembrey/change-case/releases/tag/no-case%403.0.3,4148,error,Couldn't find the requested package or version,NA,NA,NA,NA
4149,lower-case,https://github.com/blakeembrey/change-case,change-case@4.1.0,https://github.com/blakeembrey/change-case/releases/tag/change-case%404.1.0,4149,error,Couldn't find the requested package or version,NA,NA,NA,NA
4150,lower-case,https://github.com/blakeembrey/change-case,camel-case@4.1.0,https://github.com/blakeembrey/change-case/releases/tag/camel-case%404.1.0,4150,error,Couldn't find the requested package or version,NA,NA,NA,NA
4151,lower-case,https://github.com/blakeembrey/change-case,pascal-case@3.1.0,https://github.com/blakeembrey/change-case/releases/tag/pascal-case%403.1.0,4151,error,Couldn't find the requested package or version,NA,NA,NA,NA
4152,lower-case,https://github.com/blakeembrey/change-case,title-case@3.0.1,https://github.com/blakeembrey/change-case/releases/tag/title-case%403.0.1,4152,error,Couldn't find the requested package or version,NA,NA,NA,NA
4153,lower-case,https://github.com/blakeembrey/change-case,is-lower-case@2.0.0,https://github.com/blakeembrey/change-case/releases/tag/is-lower-case%402.0.0,4153,error,Couldn't find the requested package or version,NA,NA,NA,NA
4154,lower-case,https://github.com/blakeembrey/change-case,is-upper-case@2.0.0,https://github.com/blakeembrey/change-case/releases/tag/is-upper-case%402.0.0,4154,error,Couldn't find the requested package or version,NA,NA,NA,NA
4155,lower-case,https://github.com/blakeembrey/change-case,lower-case-first@2.0.0,https://github.com/blakeembrey/change-case/releases/tag/lower-case-first%402.0.0,4155,error,Couldn't find the requested package or version,NA,NA,NA,NA
4156,lower-case,https://github.com/blakeembrey/change-case,header-case@2.0.0,https://github.com/blakeembrey/change-case/releases/tag/header-case%402.0.0,4156,error,Couldn't find the requested package or version,NA,NA,NA,NA
4157,lower-case,https://github.com/blakeembrey/change-case,dot-case@3.0.0,https://github.com/blakeembrey/change-case/releases/tag/dot-case%403.0.0,4157,error,Couldn't find the requested package or version,NA,NA,NA,NA
4158,lower-case,https://github.com/blakeembrey/change-case,constant-case@3.0.0,https://github.com/blakeembrey/change-case/releases/tag/constant-case%403.0.0,4158,error,Couldn't find the requested package or version,NA,NA,NA,NA
