X.1,Name,Release.Name,X,Repository.URL,Release.URL,id,is_ok,num_vuln,critical,high,medium,low
1248,rethinkdb,v2.1.2,8469,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.1.2,1248,error,Couldn't find the requested package or version,NA,NA,NA,NA
1250,rethinkdb,v2.1.0-1,8471,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.1.0-1,1250,error,Couldn't find the requested package or version,NA,NA,NA,NA
1251,rethinkdb,v2.1.0-0BETA1,8472,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.1.0-0BETA1,1251,error,Couldn't find the requested package or version,NA,NA,NA,NA
1252,rethinkdb,v2.0.4,8473,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.0.4,1252,error,Couldn't find the requested package or version,NA,NA,NA,NA
1253,rethinkdb,v2.0.3,8474,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.0.3,1253,error,Couldn't find the requested package or version,NA,NA,NA,NA
1255,rethinkdb,v2.0.1,8476,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.0.1,1255,error,Couldn't find the requested package or version,NA,NA,NA,NA
1409,jspdf,v1.0.178,8954,https://github.com/MrRio/jsPDF,https://github.com/parallax/jsPDF/releases/tag/v1.0.178,1409,error,Couldn't find the requested package or version,NA,NA,NA,NA
1410,jspdf,v1.0.150,8955,https://github.com/MrRio/jsPDF,https://github.com/parallax/jsPDF/releases/tag/v1.0.150,1410,error,Couldn't find the requested package or version,NA,NA,NA,NA
1411,jspdf,v1.0.138,8956,https://github.com/MrRio/jsPDF,https://github.com/parallax/jsPDF/releases/tag/v1.0.138,1411,error,Couldn't find the requested package or version,NA,NA,NA,NA
1412,jspdf,v1.0.119,8957,https://github.com/MrRio/jsPDF,https://github.com/parallax/jsPDF/releases/tag/v1.0.119,1412,error,Couldn't find the requested package or version,NA,NA,NA,NA
1413,jspdf,v1.0.116,8958,https://github.com/MrRio/jsPDF,https://github.com/parallax/jsPDF/releases/tag/v1.0.116,1413,error,Couldn't find the requested package or version,NA,NA,NA,NA
1414,jspdf,v1.0.115,8959,https://github.com/MrRio/jsPDF,https://github.com/parallax/jsPDF/releases/tag/v1.0.115,1414,error,Couldn't find the requested package or version,NA,NA,NA,NA
1415,jspdf,v1.0.106,8960,https://github.com/MrRio/jsPDF,https://github.com/parallax/jsPDF/releases/tag/v1.0.106,1415,error,Couldn't find the requested package or version,NA,NA,NA,NA
1420,slate-dev-logger,slate-react@0.69.0,8965,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.69.0,1420,error,Couldn't find the requested package or version,NA,NA,NA,NA
1421,slate-dev-logger,slate-react@0.68.1,8966,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.68.1,1421,error,Couldn't find the requested package or version,NA,NA,NA,NA
1422,slate-dev-logger,slate-react@0.68.0,8967,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.68.0,1422,error,Couldn't find the requested package or version,NA,NA,NA,NA
1423,slate-dev-logger,slate-react@0.67.0,8968,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.67.0,1423,error,Couldn't find the requested package or version,NA,NA,NA,NA
1424,slate-dev-logger,slate-hyperscript@0.67.0,8969,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-hyperscript%400.67.0,1424,error,Couldn't find the requested package or version,NA,NA,NA,NA
1425,slate-dev-logger,slate-react@0.66.7,8970,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.7,1425,error,Couldn't find the requested package or version,NA,NA,NA,NA
1426,slate-dev-logger,slate-react@0.66.6,8971,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.6,1426,error,Couldn't find the requested package or version,NA,NA,NA,NA
1427,slate-dev-logger,slate@0.66.5,8972,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate%400.66.5,1427,error,Couldn't find the requested package or version,NA,NA,NA,NA
1428,slate-dev-logger,slate-react@0.66.4,8973,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.4,1428,error,Couldn't find the requested package or version,NA,NA,NA,NA
1429,slate-dev-logger,slate-react@0.66.3,8974,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.3,1429,error,Couldn't find the requested package or version,NA,NA,NA,NA
1430,slate-dev-logger,slate-react@0.66.2,8975,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.2,1430,error,Couldn't find the requested package or version,NA,NA,NA,NA
1431,slate-dev-logger,slate@0.66.2,8976,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate%400.66.2,1431,error,Couldn't find the requested package or version,NA,NA,NA,NA
1432,slate-dev-logger,slate@0.66.1,8977,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate%400.66.1,1432,error,Couldn't find the requested package or version,NA,NA,NA,NA
1433,slate-dev-logger,slate-react@0.66.1,8978,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.1,1433,error,Couldn't find the requested package or version,NA,NA,NA,NA
1434,slate-dev-logger,slate@0.66.0,8979,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate%400.66.0,1434,error,Couldn't find the requested package or version,NA,NA,NA,NA
1435,slate-dev-logger,slate-react@0.66.0,8980,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.0,1435,error,Couldn't find the requested package or version,NA,NA,NA,NA
1436,slate-dev-logger,slate-hyperscript@0.66.0,8981,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-hyperscript%400.66.0,1436,error,Couldn't find the requested package or version,NA,NA,NA,NA
1437,slate-dev-logger,slate-history@0.66.0,8982,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-history%400.66.0,1437,error,Couldn't find the requested package or version,NA,NA,NA,NA
1438,slate-dev-logger,slate@0.65.3,8983,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate%400.65.3,1438,error,Couldn't find the requested package or version,NA,NA,NA,NA
1439,slate-dev-logger,slate-react@0.65.3,8984,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.65.3,1439,error,Couldn't find the requested package or version,NA,NA,NA,NA
1440,slate-dev-logger,slate-history@0.65.3,8985,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-history%400.65.3,1440,error,Couldn't find the requested package or version,NA,NA,NA,NA
1441,slate-dev-logger,slate-react@0.65.2,8986,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.65.2,1441,error,Couldn't find the requested package or version,NA,NA,NA,NA
1442,slate-dev-logger,slate-react@0.65.1,8987,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.65.1,1442,error,Couldn't find the requested package or version,NA,NA,NA,NA
1443,slate-dev-logger,slate-react@0.65.0,8988,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.65.0,1443,error,Couldn't find the requested package or version,NA,NA,NA,NA
1444,slate-dev-logger,slate-react@0.63.0,8989,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.63.0,1444,error,Couldn't find the requested package or version,NA,NA,NA,NA
1445,slate-dev-logger,slate@0.63.0,8990,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate%400.63.0,1445,error,Couldn't find the requested package or version,NA,NA,NA,NA
1446,slate-dev-logger,slate@0.62.1,8991,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate%400.62.1,1446,error,Couldn't find the requested package or version,NA,NA,NA,NA
1447,slate-dev-logger,slate-react@0.62.1,8992,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.62.1,1447,error,Couldn't find the requested package or version,NA,NA,NA,NA
1450,slate,slate-react@0.69.0,8995,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.69.0,1450,error,Couldn't find the requested package or version,NA,NA,NA,NA
1451,slate,slate-react@0.68.1,8996,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.68.1,1451,error,Couldn't find the requested package or version,NA,NA,NA,NA
1452,slate,slate-react@0.68.0,8997,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.68.0,1452,error,Couldn't find the requested package or version,NA,NA,NA,NA
1453,slate,slate-react@0.67.0,8998,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.67.0,1453,error,Couldn't find the requested package or version,NA,NA,NA,NA
1454,slate,slate-hyperscript@0.67.0,8999,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-hyperscript%400.67.0,1454,error,Couldn't find the requested package or version,NA,NA,NA,NA
1455,slate,slate-react@0.66.7,9000,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.7,1455,error,Couldn't find the requested package or version,NA,NA,NA,NA
1456,slate,slate-react@0.66.6,9001,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.6,1456,error,Couldn't find the requested package or version,NA,NA,NA,NA
1457,slate,slate@0.66.5,9002,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate%400.66.5,1457,error,Couldn't find the requested package or version,NA,NA,NA,NA
1458,slate,slate-react@0.66.4,9003,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.4,1458,error,Couldn't find the requested package or version,NA,NA,NA,NA
1459,slate,slate-react@0.66.3,9004,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.3,1459,error,Couldn't find the requested package or version,NA,NA,NA,NA
1460,slate,slate-react@0.66.2,9005,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate-react%400.66.2,1460,error,Couldn't find the requested package or version,NA,NA,NA,NA
1461,slate,slate@0.66.2,9006,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate/releases/tag/slate%400.66.2,1461,error,Couldn't find the requested package or version,NA,NA,NA,NA
